datetime,x,y,z,magnitude
1772041464.659478,-0.00387276872061193,0.13028156757354736,0.09196827560663223,0.15951943112060551
1772041464.747453,0.0033720945939421654,0.14373639225959778,0.09533930569887161,0.17251407099972554
1772041464.846998,-0.008205997757613659,0.11469036340713501,0.12134507298469543,0.1671701067634992
1772041464.946686,-0.0041643851436674595,0.10734137147665024,0.12583889067173004,0.16545373534497385
1772041465.046307,0.1225658655166626,-0.5708190202713013,0.1608448028564453,0.6055805445184527
1772041465.1713228,0.33855941891670227,-1.1996244192123413,0.18396876752376556,1.25998640259805
1772041465.2453818,0.42031845450401306,-1.0638047456741333,-0.014037256129086018,1.1439165986535396
1772041465.344921,0.46757572889328003,-3.215529680252075,-0.14142955839633942,3.252423789548385
1772041465.444663,0.5378602743148804,-5.222232818603516,-0.16504648327827454,5.252451773032116
1772041465.5441,0.20940542221069336,-2.7562923431396484,-0.1248074471950531,2.7670516819490087
1772041465.643777,0.3720686435699463,-1.9401562213897705,0.20275816321372986,1.985888242493826
1772041465.743256,0.051479700952768326,1.356260895729065,0.10935152322053909,1.3616356093039885
1772041465.842791,0.37591850757598877,-1.0442675352096558,0.3018448054790497,1.1501824620579528
1772041465.942353,0.2781248390674591,0.29753315448760986,0.3172948658466339,0.5162900696491085
1772041466.0419688,0.12173362821340561,0.7337091565132141,0.24838531017303467,0.7841195475812897
1772041466.141535,0.10391814261674881,-0.2877609431743622,0.18749506771564484,0.35883107613361426
1772041466.241287,0.11440380662679672,0.26826712489128113,0.11475188285112381,0.31340624736277
1772041466.340652,-0.029050027951598167,0.06558353453874588,-0.014871357940137386,0.07325477058572498
1772041466.440273,-0.24109837412834167,-0.1307564079761505,-0.16422195732593536,0.3196787692389294
1772041466.539823,-0.3267839848995209,-0.1885073333978653,-0.32211652398109436,0.49606636910119917
1772041466.639365,-0.11327409744262695,-0.2742304801940918,-0.11908750981092453,0.3197111390175371
1772041466.738933,0.059609267860651016,-1.1393213272094727,0.016300143674016,1.1409960763004539
1772041466.8384938,-0.03284130245447159,-0.2280920296907425,0.0993228554725647,0.2509373522905122
1772041466.938057,-0.03585333749651909,-0.5091239809989929,0.1346566081047058,0.5278494974366903
1772041467.037664,-0.018454907462000847,-0.22244451940059662,0.13451041281223297,0.2606054469417528
1772041467.1372252,0.04801652953028679,-0.9077110290527344,0.09324978291988373,0.9137507435765578
1772041467.236779,-0.022057099267840385,-0.5274055004119873,0.3243541121482849,0.6195552175233716
1772041467.336292,0.03293025121092796,-1.0411934852600098,0.17995591461658478,1.0571435126784785
1772041467.435857,-0.07355517894029617,-0.20538032054901123,-0.03846350312232971,0.22151948331962823
1772041467.535417,-0.13188612461090088,-0.36115312576293945,-0.04761652275919914,0.3874182021445313
1772041467.634958,-0.08838871866464615,0.16719165444374084,-0.24896188080310822,0.3126461786042399
1772041467.734489,-0.10146963596343994,0.44053319096565247,-0.20539788901805878,0.4965419138179655
1772041467.834135,-0.09833109378814697,0.30182909965515137,-0.23838168382644653,0.3969831691497066
1772041467.9336429,-0.05356016382575035,-0.38580840826034546,-0.230561301112175,0.45263156386178105
1772041468.033218,-0.13852672278881073,-0.07505453377962112,-0.21434718370437622,0.26602171176331063
1772041468.13275,-0.26869723200798035,-0.14950506389141083,-0.306265652179718,0.43399149337630255
1772041468.2322788,-0.3653707802295685,0.045642320066690445,-0.3022828996181488,0.47639687218556515
1772041468.3318849,-0.3351508378982544,-0.9003926515579224,-0.16854427754878998,0.9754179538115195
1772041468.431463,-0.3414859473705292,0.12957504391670227,0.1601899415254593,0.39882723280073695
1772041468.5310612,-0.05754798278212547,-0.8698645830154419,0.26099324226379395,0.9099965030780546
1772041468.630626,0.07579116523265839,-0.3638477325439453,0.3146977424621582,0.48699501261868516
1772041468.730142,0.1374601274728775,-0.6263043880462646,0.20118211209774017,0.6720317815096051
1772041468.82977,0.2237606644630432,-0.9576714038848877,0.11047804355621338,0.9896508227085969
1772041468.9293308,0.12768925726413727,-1.0178617238998413,0.03681899979710579,1.026500206598656
1772041469.028894,0.061403438448905945,-0.7454659342765808,-0.018867697566747665,0.7482284620566597
1772041469.128339,-0.20864242315292358,1.0372716188430786,-0.10623855143785477,1.0633676230768352
1772041469.227943,-0.00330311874859035,0.07631048560142517,-0.026427878066897392,0.08082470875488142
1772041469.327405,-0.10212929546833038,0.7355331182479858,-0.006220079027116299,0.7426156815039436
1772041469.427194,-0.13048610091209412,0.6853386759757996,0.001820803270675242,0.6976525199868869
1772041469.526684,-0.006237389519810677,0.01750628836452961,-0.017951037734746933,0.025838245220568233
1772041469.626246,0.016938770189881325,-0.049672216176986694,-0.08148740231990814,0.09692495928462122
1772041469.72574,0.0017355820164084435,-0.0661526545882225,-0.04940589889883995,0.0825840711033717
1772041469.825358,-0.06470735371112823,0.07399087399244308,0.007863515987992287,0.09860794056340526
1772041469.9249759,-0.02977920137345791,-0.08890137821435928,0.00577746145427227,0.09393420539776294
1772041470.024612,-0.012018579989671707,-0.05630268529057503,-0.026249181479215622,0.06327288648565409
1772041470.124148,0.007949535734951496,-0.04688441753387451,-0.014816230162978172,0.049808276442116474
1772041470.223672,-0.019153188914060593,0.016399214044213295,-0.003599794814363122,0.02547032370330483
1772041470.323298,0.0256907157599926,-0.00977460015565157,0.0006231797160580754,0.02749443648126111
1772041470.425282,0.08283256739377975,0.12666712701320648,0.026789536699652672,0.15369929916368158
1772041470.522355,-0.039448339492082596,0.8547490239143372,-0.025656893849372864,0.856043422714755
1772041470.624968,-0.09013788402080536,-0.5688099265098572,-0.2702333629131317,0.6361569311602583
1772041470.721513,-0.1021394208073616,0.38534554839134216,-0.19092388451099396,0.44201310232238017
1772041470.828772,-0.05415671318769455,0.5061824917793274,0.014842329546809196,0.5092876979798345
1772041470.9290361,0.020774254575371742,-0.2116832286119461,-0.06923286616802216,0.2236840376213266
1772041471.028458,0.06814656406641006,-0.19345495104789734,-0.0988573357462883,0.22768738460849353
1772041471.128109,0.029472671449184418,-0.00890640914440155,-0.08187355846166611,0.08747137852677817
1772041471.232987,-0.024296818301081657,-0.06029956042766571,-0.05537350848317146,0.08539670842053192
1772041471.333746,-0.08073452860116959,0.042640138417482376,-0.01896383799612522,0.09325166306430363
1772041471.428246,-0.09914282709360123,0.033370207995176315,-0.009284578263759613,0.10501939982350363
1772041471.5246248,0.015208248049020767,-0.11726564168930054,-0.0457211509346962,0.12677911962274085
1772041471.635567,-0.013697702437639236,0.0019238675013184547,-0.006915962789207697,0.015464761864782874
1772041471.717257,-0.09347961843013763,-0.0057708038948476315,-0.0033513219095766544,0.093717514894381
1772041471.8166199,-0.05036650225520134,-0.008327704854309559,0.03032168745994568,0.059376257443378155
1772041471.9162068,-0.03615374490618706,-0.04459516331553459,0.017833858728408813,0.06011545873588334
1772041472.015852,-0.09855906665325165,0.06769595295190811,0.03718332201242447,0.12521673650717266
1772041472.11536,-0.0674794390797615,0.04080735146999359,0.042982086539268494,0.08981188337733487
1772041472.2149181,-0.00794127956032753,0.016593357548117638,0.025855831801891327,0.03173212053964631
1772041472.314485,0.034201644361019135,-0.042871300131082535,-0.006333263125270605,0.0552069839217911
1772041472.414105,0.04071440547704697,-0.01786688156425953,0.03131398186087608,0.054382476315114094
1772041472.513685,0.014665761962532997,-0.014223410747945309,0.009911486878991127,0.02270743401176934
